Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,20,0,1980
2,19,0,1961
3,164,0,1797
4,152,0,1645
5,198,0,1447
6,96,0,1351
7,0,649,2000
8,87,0,1913
9,87,0,1826
10,1,0,1825
11,137,0,1688
12,161,0,1527
13,103,0,1424
14,0,576,2000
15,13,0,1987
16,129,0,1858
17,97,0,1761
18,159,0,1602
19,9,0,1593
20,115,0,1478
21,0,522,2000
22,167,0,1833
23,101,0,1732
24,144,0,1588
25,190,0,1398
26,93,0,1305
27,95,0,1210
28,0,790,2000
29,28,0,1972
30,184,0,1788
31,159,0,1629
32,53,0,1576
33,117,0,1459
34,179,0,1280
35,0,720,2000
36,54,0,1946
37,169,0,1777
38,194,0,1583
39,154,0,1429
40,47,0,1382
41,35,0,1347
42,0,653,2000
43,114,0,1886
44,12,0,1874
45,20,0,1854
46,20,0,1834
47,28,0,1806
48,138,0,1668
49,0,332,2000
